2021-03-18 09:40:58AM 858ms | Program Started
2021-03-18 10:08:32AM 637ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:08:43AM 901ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:08:55AM 187ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:09:06AM 302ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:09:17AM 549ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:09:29AM 192ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:09:40AM 338ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:09:51AM 672ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:10:03AM 248ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:10:14AM 823ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:10:26AM 168ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:10:38AM 033ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:10:49AM 338ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:11:00AM 515ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:11:11AM 928ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:11:23AM 433ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:11:34AM 708ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:11:46AM 193ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:11:57AM 618ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:12:08AM 793ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:12:20AM 689ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:12:32AM 153ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:12:43AM 499ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:12:54AM 693ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:13:05AM 989ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:13:17AM 354ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:13:28AM 581ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:13:39AM 814ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:13:51AM 849ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:14:03AM 034ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:14:14AM 790ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:14:26AM 264ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:14:38AM 070ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:14:49AM 794ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:15:01AM 410ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:15:12AM 894ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:15:24AM 310ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:15:35AM 775ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:15:47AM 380ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:15:58AM 755ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:16:10AM 030ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:16:21AM 538ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:16:32AM 790ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:16:44AM 085ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:16:55AM 800ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:17:07AM 535ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:17:18AM 911ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:17:29AM 885ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:17:40AM 991ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:17:52AM 435ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:18:03AM 771ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:18:15AM 085ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:18:26AM 631ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:18:37AM 826ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:18:49AM 272ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:19:00AM 736ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:19:11AM 841ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:19:23AM 246ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:19:34AM 661ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:19:46AM 507ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:19:57AM 971ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:20:09AM 917ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
